Date,00:00:00 - 00:15:00,00:15:00 - 00:30:00,00:30:00 - 00:45:00,00:45:00 - 01:00:00,01:00:00 - 01:15:00,01:15:00 - 01:30:00,01:30:00 - 01:45:00,01:45:00 - 02:00:00,02:00:00 - 02:15:00,02:15:00 - 02:30:00,02:30:00 - 02:45:00,02:45:00 - 03:00:00,03:00:00 - 03:15:00,03:15:00 - 03:30:00,03:30:00 - 03:45:00,03:45:00 - 04:00:00,04:00:00 - 04:15:00,04:15:00 - 04:30:00,04:30:00 - 04:45:00,04:45:00 - 05:00:00,05:00:00 - 05:15:00,05:15:00 - 05:30:00,05:30:00 - 05:45:00,05:45:00 - 06:00:00,06:00:00 - 06:15:00,06:15:00 - 06:30:00,06:30:00 - 06:45:00,06:45:00 - 07:00:00,07:00:00 - 07:15:00,07:15:00 - 07:30:00,07:30:00 - 07:45:00,07:45:00 - 08:00:00,08:00:00 - 08:15:00,08:15:00 - 08:30:00,08:30:00 - 08:45:00,08:45:00 - 09:00:00,09:00:00 - 09:15:00,09:15:00 - 09:30:00,09:30:00 - 09:45:00,09:45:00 - 10:00:00,10:00:00 - 10:15:00,10:15:00 - 10:30:00,10:30:00 - 10:45:00,10:45:00 - 11:00:00,11:00:00 - 11:15:00,11:15:00 - 11:30:00,11:30:00 - 11:45:00,11:45:00 - 12:00:00,12:00:00 - 12:15:00,12:15:00 - 12:30:00,12:30:00 - 12:45:00,12:45:00 - 13:00:00,13:00:00 - 13:15:00,13:15:00 - 13:30:00,13:30:00 - 13:45:00,13:45:00 - 14:00:00,14:00:00 - 14:15:00,14:15:00 - 14:30:00,14:30:00 - 14:45:00,14:45:00 - 15:00:00,15:00:00 - 15:15:00,15:15:00 - 15:30:00,15:30:00 - 15:45:00,15:45:00 - 16:00:00,16:00:00 - 16:15:00,16:15:00 - 16:30:00,16:30:00 - 16:45:00,16:45:00 - 17:00:00,17:00:00 - 17:15:00,17:15:00 - 17:30:00,17:30:00 - 17:45:00,17:45:00 - 18:00:00,18:00:00 - 18:15:00,18:15:00 - 18:30:00,18:30:00 - 18:45:00,18:45:00 - 19:00:00,19:00:00 - 19:15:00,19:15:00 - 19:30:00,19:30:00 - 19:45:00,19:45:00 - 20:00:00,20:00:00 - 20:15:00,20:15:00 - 20:30:00,20:30:00 - 20:45:00,20:45:00 - 21:00:00,21:00:00 - 21:15:00,21:15:00 - 21:30:00,21:30:00 - 21:45:00,21:45:00 - 22:00:00,22:00:00 - 22:15:00,22:15:00 - 22:30:00,22:30:00 - 22:45:00,22:45:00 - 23:00:00,23:00:00 - 23:15:00,23:15:00 - 23:30:00,23:30:00 - 23:45:00,23:45:00 - 00:00:00
2020-11-01,5,5,0,5,5,5,2,4,2,1,4,2,4,3,2,2,2,1,2,3,0,0,1,2,0,0,1,3,0,4,3,5,5,1,2,2,2,1,2,3,0,4,0,1,0,3,3,2,4,1,3,2,3,5,4,4,2,3,2,5,0,1,4,1,2,2,3,2,5,0,5,3,0,4,1,3,0,0,4,3,0,3,0,1,1,4,4,5,4,3,3,3,5,3,1,3
2020-11-02,4,5,5,1,3,1,1,4,5,5,1,5,5,4,3,0,2,1,3,3,3,1,2,3,0,5,4,5,0,5,3,5,4,4,0,5,5,4,0,2,3,1,1,3,0,0,3,2,1,5,3,0,5,0,3,0,1,2,0,4,2,2,1,0,5,1,3,2,2,0,5,2,1,4,1,2,3,1,3,0,3,4,0,2,3,5,1,4,1,4,5,1,5,4,3,0
2020-11-03,1,0,3,0,3,1,2,5,3,5,1,1,2,1,1,3,4,1,1,2,3,1,5,2,4,5,4,4,0,0,5,5,4,4,5,2,1,5,1,5,5,4,5,3,3,3,2,5,3,4,0,2,4,1,5,1,0,0,4,3,2,2,3,3,1,5,0,5,4,1,2,0,2,5,5,2,5,5,0,4,1,1,0,0,4,3,5,3,5,2,3,3,2,1,1,4
2020-11-04,4,1,5,1,0,5,3,3,4,0,0,3,2,1,5,2,4,2,5,4,0,1,0,2,1,0,4,3,3,5,5,4,4,1,1,3,4,4,4,0,4,2,4,3,5,0,3,2,0,2,1,4,1,2,1,2,2,4,2,5,2,1,4,1,3,3,2,4,0,1,3,4,4,5,3,5,4,5,1,3,1,3,2,3,1,4,0,2,1,2,0,4,2,1,1,0
2020-11-05,5,3,2,5,4,1,4,5,0,1,5,0,0,2,3,5,4,0,1,0,2,5,0,1,5,4,2,5,4,2,0,3,2,5,2,1,3,3,3,2,0,1,5,2,4,5,5,3,5,4,4,5,0,2,3,5,4,3,3,2,0,1,4,5,4,2,3,3,1,1,2,1,5,5,0,4,1,1,0,3,4,3,3,5,4,4,0,5,5,3,4,4,2,1,5,1
2020-11-06,5,0,5,5,5,4,1,5,2,1,4,2,3,2,4,3,2,4,2,0,1,5,5,2,0,0,4,3,3,0,0,2,0,5,0,3,5,3,5,5,2,0,4,4,2,3,3,2,1,3,0,1,0,4,4,0,2,4,1,0,2,4,3,2,5,3,5,2,5,5,3,4,2,3,3,5,3,5,2,0,1,3,5,3,0,1,4,4,5,4,2,5,3,4,4,0
2020-11-07,0,1,4,5,2,4,3,1,4,3,3,3,5,2,3,2,2,4,3,0,1,5,0,2,1,2,0,5,1,0,1,5,1,5,2,4,2,1,5,3,3,0,1,3,4,0,2,5,0,4,5,5,1,1,1,0,0,3,2,4,2,2,2,4,4,0,2,5,4,0,1,2,3,4,3,3,3,5,1,0,3,3,0,1,5,1,4,5,0,1,5,4,4,0,0,4
2020-11-08,2,4,2,1,3,0,2,5,4,0,5,2,0,5,2,4,5,1,4,5,4,1,1,0,0,0,4,0,2,5,5,4,0,1,4,5,2,3,0,5,2,2,1,4,2,4,2,5,4,3,3,0,2,5,3,4,1,0,0,1,4,5,3,2,1,2,3,0,1,4,1,4,2,4,5,1,4,5,5,3,4,1,2,5,1,5,2,2,5,5,4,3,3,2,5,2
2020-11-09,3,4,0,3,5,1,2,0,2,3,4,0,3,5,4,1,0,3,2,0,4,5,2,0,5,4,1,1,4,3,1,0,5,0,5,1,5,1,4,0,0,4,2,5,4,5,5,3,2,2,5,5,4,0,1,4,5,5,4,2,5,2,4,0,5,2,2,0,2,5,4,4,2,3,1,4,2,0,2,0,3,2,0,5,4,5,0,4,1,0,2,2,2,5,4,2
2020-11-10,0,5,0,0,3,2,0,5,1,2,1,4,5,0,5,4,4,3,4,1,1,2,5,3,0,2,5,1,4,2,4,1,2,4,1,2,3,5,5,0,5,2,2,1,1,2,5,0,5,3,2,3,3,1,1,1,3,0,5,2,3,4,0,5,2,3,2,5,2,1,2,3,4,0,0,5,2,0,0,0,1,2,5,3,0,2,5,3,1,0,0,4,2,4,5,4
